distance_km,time_of_day,traffic_level,weather,prep_time_min,delivery_time_minutes
3.3,night,medium,rain,16,40
6.5,morning,medium,clear,22,44
9.2,morning,low,rain,22,55
4.7,night,high,rain,19,55
6.8,morning,medium,clear,10,34
6.1,afternoon,medium,rain,18,47
5.4,evening,high,clear,19,53
7.6,afternoon,medium,clear,18,46
7.1,afternoon,medium,rain,11,41
6.4,afternoon,low,clear,9,29
9.3,night,high,clear,23,69
8.9,afternoon,medium,rain,16,53
5.8,night,high,rain,20,60
9.3,morning,low,rain,11,43
2.9,night,high,rain,7,40
8.3,morning,low,clear,20,45
6.9,night,low,clear,18,40
2.2,night,low,clear,21,32
2.9,afternoon,low,clear,13,20
9.1,night,medium,clear,12,45
1.8,morning,medium,clear,17,24
3.1,night,high,clear,7,29
7.8,morning,high,clear,10,43
8.1,night,high,rain,22,68
4.0,night,medium,rain,17,46
8.4,evening,high,rain,19,66
9.8,evening,low,clear,21,56
4.6,afternoon,low,clear,23,35
7.3,afternoon,medium,rain,26,60
8.8,night,high,clear,7,52
9.6,evening,low,rain,8,49
7.6,night,low,rain,19,53
8.1,evening,medium,rain,10,50
3.6,afternoon,high,clear,23,48
8.1,morning,low,rain,9,38
7.1,night,low,rain,10,41
5.9,afternoon,low,clear,9,24
9.9,morning,low,rain,19,56
3.0,evening,high,rain,10,41
9.3,night,low,rain,14,54
7.9,morning,high,rain,19,63
7.7,night,high,rain,14,57
2.0,morning,low,clear,17,24
9.4,morning,high,rain,11,59
9.6,morning,medium,clear,25,59
8.6,night,medium,rain,11,51
6.4,afternoon,low,rain,7,32
5.1,afternoon,medium,clear,22,43
2.3,evening,low,clear,26,35
5.5,morning,medium,rain,13,40
7.3,night,low,rain,11,44
2.9,afternoon,high,clear,12,34
7.5,evening,high,clear,7,45
4.0,night,medium,rain,19,43
7.5,evening,high,clear,24,61
2.2,morning,high,rain,21,46
6.2,night,high,rain,16,58
2.9,afternoon,high,clear,18,40
6.2,afternoon,medium,rain,12,44
1.9,night,low,clear,10,22
6.9,night,low,rain,14,41
3.2,night,medium,clear,19,39
9.9,morning,medium,rain,15,56
5.0,morning,low,clear,9,21
6.8,afternoon,low,rain,15,42
1.9,afternoon,medium,rain,20,35
2.1,evening,low,clear,19,31
1.2,night,low,clear,13,23
9.1,afternoon,high,clear,7,46
8.2,morning,low,clear,25,47
2.5,evening,low,clear,10,21
4.3,afternoon,medium,clear,14,30
9.5,evening,high,rain,11,61
7.3,evening,high,clear,10,48
1.4,morning,low,clear,16,22
2.9,afternoon,high,clear,25,44
2.2,night,low,rain,15,30
9.1,night,medium,clear,15,52
9.5,afternoon,high,clear,9,50
3.4,afternoon,high,rain,25,54
8.4,afternoon,medium,clear,17,50
4.9,morning,high,clear,9,34
5.8,night,low,rain,9,35
4.0,evening,low,clear,15,28
4.4,afternoon,medium,clear,10,26
7.6,evening,high,rain,10,54
7.3,evening,high,rain,26,67
1.4,evening,medium,clear,18,33
7.1,night,medium,clear,15,42
5.6,afternoon,high,clear,11,39
7.6,morning,high,rain,14,55
4.8,night,low,rain,18,44
5.5,evening,medium,clear,16,42
1.8,evening,medium,rain,9,30
1.7,afternoon,low,clear,25,27
7.7,night,low,rain,23,58
2.2,night,high,clear,19,38
2.7,morning,high,rain,24,51
3.2,morning,high,rain,12,40
8.9,afternoon,low,clear,18,46
5.6,morning,medium,rain,19,44
9.7,evening,high,clear,24,71
8.7,evening,medium,rain,16,55
1.0,night,low,rain,23,37
1.3,night,high,rain,8,33
6.5,evening,medium,rain,10,41
9.0,afternoon,medium,rain,7,42
5.4,morning,high,clear,20,45
5.4,afternoon,high,rain,14,48
4.4,evening,medium,clear,24,48
2.0,night,high,rain,12,37
7.7,morning,medium,clear,10,36
1.4,night,medium,rain,8,25
2.8,night,high,rain,10,39
6.0,afternoon,medium,rain,23,53
7.7,night,low,clear,10,38
2.1,evening,high,clear,14,33
8.5,night,high,clear,20,61
3.5,morning,medium,clear,26,39
5.6,afternoon,medium,clear,15,39
3.2,night,low,rain,10,30
5.5,afternoon,low,clear,14,28
4.6,evening,low,clear,20,34
2.8,morning,medium,rain,23,41
6.7,afternoon,low,rain,20,45
5.6,morning,medium,clear,15,35
9.5,night,low,rain,8,44
1.0,evening,low,rain,22,33
6.5,night,low,rain,22,50
3.7,morning,high,clear,24,48
2.2,evening,high,rain,25,53
4.3,evening,low,rain,9,34
2.2,morning,low,clear,13,20
9.3,morning,high,rain,16,63
9.9,afternoon,high,clear,8,47
4.8,evening,high,rain,18,54
7.5,night,low,rain,20,52
9.6,morning,low,rain,11,44
9.6,morning,high,clear,19,59
5.8,morning,low,rain,23,45
8.0,night,high,rain,13,57
2.4,afternoon,high,clear,23,41
7.4,evening,medium,clear,16,48
6.0,afternoon,low,clear,24,40
1.4,afternoon,medium,clear,15,26
1.5,afternoon,low,clear,7,12
6.7,evening,medium,clear,24,51
2.2,evening,medium,clear,7,24
3.0,evening,low,rain,7,26
9.8,morning,high,rain,15,64
6.7,afternoon,medium,clear,17,40
6.2,night,low,rain,14,43
4.9,afternoon,medium,clear,22,39
2.7,afternoon,low,rain,12,26
1.2,afternoon,low,rain,26,33
2.3,night,low,rain,19,33
5.7,morning,high,clear,19,47
2.0,morning,high,clear,11,27
1.8,afternoon,high,clear,7,27
2.0,evening,high,clear,13,32
7.8,night,low,rain,17,50
3.2,evening,high,clear,7,34
